school_name,city_name,state_name,cost,grad_rate,salary,website
University of North Carolina at Charlotte,Charlotte,NC,"$14,665",55%,"$44,000",http://www.uncc.edu
Wingate University,Wingate,NC,"$17,326",54%,"$43,200",https://www.wingate.edu
Queens University of Charlotte,Charlotte,NC,"$26,444",53%,"$42,200",http://www.queens.edu
University of North Carolina Wilmington,Wilmington,NC,"$16,793",72%,"$41,600",http://www.uncw.edu
East Carolina University,Greenville,NC,"$15,203",61%,"$40,500",http://www.ecu.edu
Meredith College,Raleigh,NC,"$24,593",62%,"$39,500",http://www.meredith.edu
University of Mount Olive,Mount Olive,NC,"$14,750",44%,"$39,500",https://www.umo.edu
Catawba College,Salisbury,NC,"$19,046",50%,"$39,400",http://www.catawba.edu
Methodist University,Fayetteville,NC,"$30,574",38%,"$39,300",http://www.methodist.edu
Pfeiffer University,Misenheimer,NC,"$17,619",41%,"$39,200",http://www.pfeiffer.edu
University of North Dakota,Grand Forks,ND,"$15,045",55%,"$48,700",http://und.edu
North Dakota State University-Main Campus,Fargo,ND,"$15,394",55%,"$48,200",https://www.ndsu.edu
University of Mary,Bismarck,ND,"$16,636",56%,"$48,000",http://www.umary.edu/
Bismarck State College,Bismarck,ND,"$9,480",45%,"$44,800",https://bismarckstate.edu/
University of Jamestown,Jamestown,ND,"$16,848",47%,"$43,800",http://www.uj.edu
North Dakota State College of Science,Wahpeton,ND,"$11,238",47%,"$43,400",https://www.ndscs.edu
Dickinson State University,Dickinson,ND,"$11,398",33%,"$41,700",http://www.dickinsonstate.edu
Minot State University,Minot,ND,"$10,817",43%,"$41,200",http://www.minotstateu.edu
Williston State College,Williston,ND,"$11,096",35%,"$39,800",http://www.willistonstate.edu
Valley City State University,Valley City,ND,"$11,920",37%,"$39,300",http://www.vcsu.edu
Mayville State University,Mayville,ND,"$12,317",28%,"$39,300",http://www.mayvillestate.edu
Dakota College at Bottineau,Bottineau,ND,"$9,614",30%,"$37,900",http://www.dakotacollege.edu
Lake Region State College,Devils Lake,ND,"$9,300",42%,"$35,800",http://www.lrsc.edu
Rasmussen College-North Dakota,Fargo,ND,"$19,041",15%,"$32,600",http://rasmussen.edu
Nueta Hidatsa Sahnish College,New Town,ND,"$4,543",5%,"$28,600",http://www.nhsc.edu
Trinity Bible College and Graduate School,Ellendale,ND,"$20,329",41%,"$27,000",http://trinitybiblecollege.edu/
Turtle Mountain Community College,Belcourt,ND,"$8,748",22%,"$23,200",http://www.tm.edu
Sitting Bull College,Fort Yates,ND,"$2,998",12%,"$19,100",http://www.sittingbull.edu
United Tribes Technical College,Bismarck,ND,"$6,255",39%,"$17,500",http://www.uttc.edu/
Cankdeska Cikana Community College,Fort Totten,ND,"$8,032",9%,"$16,400",http://www.littlehoop.edu
Case Western Reserve University,Cleveland,OH,"$29,989",81%,"$74,600",http://www.case.edu
Ohio Northern University,Ada,OH,"$24,468",73%,"$63,500",http://www.onu.edu/
Aultman College of Nursing and Health Sciences,Canton,OH,"$19,639",64%,"$60,500",http://www.aultmancollege.edu
Chamberlain University-Ohio,Columbus,OH,"$26,486",41%,"$58,400",http://www.chamberlain.edu
Mount Carmel College of Nursing,Columbus,OH,"$17,583",72%,"$57,700",http://www.mccn.edu
The Christ College of Nursing and Health Sciences,Cincinnati,OH,"$18,954",73%,"$56,200",http://www.thechristcollege.edu
University of Dayton,Dayton,OH,"$28,866",77%,"$55,100",https://www.udayton.edu
Kettering College,Kettering,OH,"$21,004",41%,"$54,500",http://kc.edu
John Carroll University,University Heights,OH,"$25,718",75%,"$53,800",http://sites.jcu.edu/
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,"$21,049",58%,"$52,600",http://www.GSCollege.edu
Xavier University,Cincinnati,OH,"$27,391",73%,"$51,600",http://www.xavier.edu
Mercy College of Ohio,Toledo,OH,"$19,820",60%,"$51,100",http://www.mercycollege.edu
Denison University,Granville,OH,"$27,944",80%,"$48,800",https://www.denison.edu
Kenyon College,Gambier,OH,"$28,678",89%,"$48,700",http://www.kenyon.edu/
Franklin University,Columbus,OH,"$22,812",9%,"$48,500",http://www.franklin.edu
Ursuline College,Pepper Pike,OH,"$17,128",48%,"$47,800",http://www.ursuline.edu
Miami University-Middletown,Middletown,OH,"$11,624",19%,"$47,100",http://miamioh.edu/regionals/
Miami University-Oxford,Oxford,OH,"$22,307",79%,"$47,100",http://miamioh.edu
Miami University-Hamilton,Hamilton,OH,"$9,667",25%,"$47,100",http://miamioh.edu/regionals/
The College of Wooster,Wooster,OH,"$25,385",79%,"$46,300",http://www.wooster.edu
University of Oklahoma-Norman Campus,Norman,OK,"$17,288",67%,"$51,100",http://www.ou.edu
Oklahoma Wesleyan University,Bartlesville,OK,"$24,315",45%,"$50,900",http://www.okwu.edu
University of Tulsa,Tulsa,OK,"$23,392",71%,"$48,500",https://utulsa.edu
Southern Nazarene University,Bethany,OK,"$9,053",40%,"$47,600",http://SNU.EDU
Oklahoma State University-Main Campus,Stillwater,OK,"$13,538",62%,"$46,500",http://www.okstate.edu/
Spartan College of Aeronautics and Technology,Tulsa,OK,"$24,294",54%,"$44,600",http://www.spartan.edu
Oklahoma City University,Oklahoma City,OK,"$25,637",59%,"$42,800",http://www.okcu.edu
Oklahoma Baptist University,Shawnee,OK,"$18,030",55%,"$40,500",https://www.okbu.edu
Southwestern Oklahoma State University,Weatherford,OK,"$11,864",28%,"$39,300",http://www.swosu.edu
School Name,City,State,"$XX,XXX",XX%,"$XX,XXX",
Oklahoma Christian University,Edmond,OK,"$18,153",49%,"$38,500",http://www.oc.edu
Mid-America Christian University,Oklahoma City,OK,"$21,062",36%,"$37,700",http://www.macu.edu
Oral Roberts University,Tulsa,OK,"$21,001",57%,"$37,600",http://oru.edu
Tulsa Welding School-Tulsa,Tulsa,OK,"$28,441",64%,"$37,500",https://www.weldingschool.com
East Central University,Ada,OK,"$7,196",35%,"$36,800",https://www.ecok.edu
Oklahoma Panhandle State University,Goodwell,OK,"$12,503",23%,"$36,700",http://www.opsu.edu
Northwestern Oklahoma State University,Alva,OK,"$8,357",23%,"$36,400",http://www.nwosu.edu
Southeastern Oklahoma State University,Durant,OK,"$9,025",27%,"$35,800",http://www.se.edu
Northeastern State University,Tahlequah,OK,"$8,661",27%,"$35,800",https://www.nsuok.edu
Oklahoma State University Institute of Technology,Okmulgee,OK,"$8,361",31%,"$35,300",http://www.osuit.edu/
University of Portland,Portland,OR,"$31,063",80%,"$58,800",https://www1.up.edu
Oregon Institute of Technology,Klamath Falls,OR,"$16,687",46%,"$56,600",http://www.oit.edu
Linfield College-McMinnville Campus,McMinnville,OR,"$26,979",67%,"$55,200",http://www.linfield.edu
Willamette University,Salem,OR,"$29,718",79%,"$51,100",http://www.willamette.edu
Oregon State University,Corvallis,OR,"$20,581",64%,"$49,600",http://oregonstate.edu
Pacific University,Forest Grove,OR,"$30,035",63%,"$46,600",http://www.pacificu.edu
Lewis & Clark College,Portland,OR,"$31,865",76%,"$46,200",http://www.lclark.edu/
George Fox University,Newberg,OR,"$27,281",66%,"$45,100",http://www.georgefox.edu
University of Oregon,Eugene,OR,"$15,619",72%,"$44,800",http://www.uoregon.edu
Portland State University,Portland,OR,"$15,762",45%,"$44,700",http://www.pdx.edu
Concordia University-Portland,Portland,OR,"$21,918",46%,"$43,300",http://www.cu-portland.edu
Northwest Christian University,Eugene,OR,"$19,377",52%,"$43,100",http://www.nwcu.edu/
Reed College,Portland,OR,"$27,289",80%,"$42,200",http://www.reed.edu
Eastern Oregon University,La Grande,OR,"$14,607",29%,"$41,200",http://www.eou.edu
Warner Pacific College Adult Degree Program,Portland,OR,"$19,627",50%,"$41,000",http://www.warnerpacific.edu/admissions/adult-degree-program
Warner Pacific College,Portland,OR,"$22,787",48%,"$41,000",http://www.warnerpacific.edu/
Western Oregon University,Monmouth,OR,"$16,411",41%,"$39,700",http://www.wou.edu
Southern Oregon University,Ashland,OR,"$8,195",38%,"$39,000",http://www.sou.edu
Corban University,Salem,OR,"$21,944",59%,"$37,600",http://www.corban.edu
Portland Community College,Portland,OR,"$7,948",16%,"$36,100",http://www.pcc.edu
University of the Sciences,Philadelphia,PA,"$32,913",71%,"$91,600",http://www.usciences.edu
University of Pennsylvania,Philadelphia,PA,"$23,281",95%,"$85,900",http://www.upenn.edu
Carnegie Mellon University,Pittsburgh,PA,"$36,613",89%,"$83,600",http://www.cmu.edu/
Lehigh University,Bethlehem,PA,"$32,501",88%,"$81,900",http://www.lehigh.edu
Villanova University,Villanova,PA,"$38,229",90%,"$77,900",http://www.villanova.edu
Bucknell University,Lewisburg,PA,"$34,502",89%,"$70,800",http://www.bucknell.edu
Drexel University,Philadelphia,PA,"$36,050",69%,"$68,800",http://www.drexel.edu
Lafayette College,Easton,PA,"$32,953",89%,"$68,600",https://www.lafayette.edu/
Haverford College,Haverford,PA,"$20,894",90%,"$60,700",https://www.haverford.edu
Saint Joseph's University,Philadelphia,PA,"$34,068",79%,"$59,600",http://www.sju.edu
Muhlenberg College,Allentown,PA,"$30,987",84%,"$59,400",http://www.muhlenberg.edu
Franklin and Marshall College,Lancaster,PA,"$28,326",87%,"$58,900",http://WWW.FANDM.EDU
Duquesne University,Pittsburgh,PA,"$28,628",76%,"$58,500",http://www.duq.edu
La Salle University,Philadelphia,PA,"$26,577",64%,"$58,000",http://www.lasalle.edu
University of Scranton,Scranton,PA,"$32,499",80%,"$57,500",http://www.scranton.edu
Dickinson College,Carlisle,PA,"$30,361",84%,"$57,400",http://www.dickinson.edu
Pittsburgh Institute of Aeronautics,West Mifflin,PA,"$29,098",63%,"$57,200",http://www.pia.edu
Swarthmore College,Swarthmore,PA,"$18,157",94%,"$56,700",http://www.swarthmore.edu
Gettysburg College,Gettysburg,PA,"$26,986",85%,"$56,100",http://WWW.GETTYSBURG.EDU
Ursinus College,Collegeville,PA,"$28,627",78%,"$55,200",http://www.ursinus.edu
Bryant University,Smithfield,RI,"$36,199",78%,"$69,300",http://www.bryant.edu/
Brown University,Providence,RI,"$28,629",96%,"$67,500",http://www.brown.edu
Providence College,Providence,RI,"$37,476",84%,"$64,100",http://www.providence.edu
Salve Regina University,Newport,RI,"$24,026",70%,"$53,500",http://www.salve.edu
University of Rhode Island,Kingston,RI,"$19,216",63%,"$52,900",http://web.uri.edu/
Rhode Island School of Design,Providence,RI,"$43,457",89%,"$51,100",http://www.risd.edu
Roger Williams University,Bristol,RI,"$33,720",64%,"$50,500",https://www.rwu.edu
New England Institute of Technology,East Greenwich,RI,"$29,230",49%,"$42,800",http://www.neit.edu
Rhode Island College,Providence,RI,"$10,480",46%,"$41,400",http://www.ric.edu
Johnson & Wales University-Providence,Providence,RI,"$27,524",60%,"$38,800",http://www.jwu.edu/campuses/providence/index.html
Community College of Rhode Island,Warwick,RI,"$7,139",15%,"$30,500",http://www.ccri.edu
Citadel Military College of South Carolina,Charleston,SC,"$18,430",68%,"$56,800",http://www.citadel.edu
Clemson University,Clemson,SC,"$16,770",81%,"$52,400",http://www.clemson.edu
Wofford College,Spartanburg,SC,"$24,083",80%,"$51,500",http://www.wofford.edu
Furman,Greenville,SC,"$28,038",83%,"$51,200",http://www.furman.edu
University of South Carolina-Lancaster,Lancaster,SC,"$7,537",17%,"$44,900",http://usclancaster.sc.edu/
University of South Carolina-Columbia,Columbia,SC,"$19,095",73%,"$44,900",http://www.sc.edu/
Presbyterian College,Clinton,SC,"$19,692",66%,"$44,500",https://www.presby.edu
College of Charleston,Charleston,SC,"$17,894",69%,"$40,700",http://www.cofc.edu
Southern Wesleyan University,Central,SC,"$15,085",55%,"$39,200",http://www.swu.edu
Coastal Carolina University,Conway,SC,"$15,111",42%,"$38,500",http://www.coastal.edu
Erskine College,Due West,SC,"$19,629",63%,"$37,400",http://www.erskine.edu
Limestone College,Gaffney,SC,"$23,519",36%,"$37,400",http://www.limestone.edu
University of South Carolina-Aiken,Aiken,SC,"$14,589",43%,"$37,100",http://web.usca.edu
Charleston Southern University,Charleston,SC,"$16,267",38%,"$36,900",http://www.csuniv.edu
University of South Carolina-Upstate,Spartanburg,SC,"$14,478",41%,"$36,900",http://www.uscupstate.edu
Newberry College,Newberry,SC,"$19,838",41%,"$36,900",http://www.newberry.edu
University of South Carolina-Beaufort,Bluffton,SC,"$14,636",24%,"$36,800",http://www.uscb.edu
Winthrop University,Rock Hill,SC,"$16,939",57%,"$35,900",http://www.winthrop.edu
Anderson University,Anderson,SC,"$19,870",51%,"$35,200",http://www.andersonuniversity.edu
Columbia College,Columbia,SC,"$16,709",50%,"$34,600",http://www.columbiasc.edu/
South Dakota School of Mines and Technology,Rapid City,SD,"$20,097",49%,"$56,500",http://www.sdsmt.edu
South Dakota State University,Brookings,SD,"$21,070",54%,"$44,400",https://www.sdstate.edu/
Augustana University,Sioux Falls,SD,"$19,293",73%,"$43,700",http://www.augie.edu
University of South Dakota,Vermillion,SD,"$17,078",54%,"$42,000",http://WWW.USD.EDU
University of Sioux Falls,Sioux Falls,SD,"$20,650",54%,"$40,100",http://www.usiouxfalls.edu/
Mitchell Technical Institute,Mitchell,SD,"$11,908",70%,"$39,700",https://www.mitchelltech.edu
Dakota State University,Madison,SD,"$15,803",39%,"$38,700",http://dsu.edu
Southeast Technical Institute,Sioux Falls,SD,"$13,892",44%,"$38,200",http://www.southeasttech.edu
Dakota Wesleyan University,Mitchell,SD,"$18,878",46%,"$37,200",http://www.dwu.edu
Lake Area Technical Institute,Watertown,SD,"$12,441",76%,"$36,900",http://www.lakeareatech.edu
Mount Marty College,Yankton,SD,"$20,813",47%,"$36,600",http://www.mtmc.edu
Black Hills State University,Spearfish,SD,"$15,793",38%,"$35,900",http://www.bhsu.edu
Northern State University,Aberdeen,SD,"$14,667",45%,"$35,300",http://www.northern.edu
Presentation College,Aberdeen,SD,"$19,752",41%,"$34,700",http://www.presentation.edu
National American University-Rapid City,Rapid City,SD,"$18,009",21%,"$34,500",http://www.national.edu/locations/campuses/rapid-city/
National American University-Sioux Falls,Sioux Falls,SD,"$11,057",20%,"$34,500",http://www.national.edu/locations/campuses/sioux-falls/
Western Dakota Technical Institute,Rapid City,SD,"$12,531",35%,"$33,800",https://www.wdt.edu
Sisseton Wahpeton College,Sisseton,SD,"$6,939",9%,"$23,600",http://www.swc.tc
Sinte Gleska University,Mission,SD,"$11,419",14%,"$18,400",http://www.sintegleska.edu
Oglala Lakota College,Kyle,SD,"$1,152",12%,"$17,700",http://www.olc.edu
Vanderbilt University,Nashville,TN,"$17,929",92%,"$69,000",http://www.vanderbilt.edu
Baptist Memorial College of Health Sciences,Memphis,TN,"$9,592",65%,"$57,000",http://www.bchs.edu
Rhodes College,Memphis,TN,"$26,905",81%,"$53,600",http://www.rhodes.edu
Sewanee-The University of the South,Sewanee,TN,"$25,303",80%,"$45,500",http://www.sewanee.edu
The University of Tennessee-Knoxville,Knoxville,TN,"$19,076",70%,"$45,100",http://www.utk.edu
Christian Brothers University,Memphis,TN,"$10,332",52%,"$44,200",https://www.cbu.edu
DeVry University-Tennessee,Nashville,TN,"$29,031",21%,"$44,100",https://www.devry.edu
Belmont University,Nashville,TN,"$34,327",69%,"$44,100",http://www.belmont.edu
King University,Bristol,TN,"$18,847",45%,"$43,500",http://www.king.edu
Union University,Jackson,TN,"$25,437",66%,"$43,200",http://www.uu.edu
Lipscomb University,Nashville,TN,"$22,895",56%,"$43,200",http://www.lipscomb.edu
Bryan College-Dayton,Dayton,TN,"$15,858",57%,"$41,300",http://www.bryan.edu
Trevecca Nazarene University,Nashville,TN,"$17,104",50%,"$40,500",http://www.trevecca.edu
Tennessee Technological University,Cookeville,TN,"$14,233",52%,"$40,500",http://www.tntech.edu
Maryville College,Maryville,TN,"$16,258",54%,"$39,000",http://www.maryvillecollege.edu
John A Gupton College,Nashville,TN,"$5,433",45%,"$38,800",http://www.guptoncollege.edu
Middle Tennessee State University,Murfreesboro,TN,"$12,173",43%,"$38,700",http://www.mtsu.edu
Cumberland University,Lebanon,TN,"$19,783",49%,"$38,700",http://www.cumberland.edu
Bethel University,McKenzie,TN,"$15,116",33%,"$38,600",http://www.bethelu.edu/
Southern Adventist University,Collegedale,TN,"$20,680",59%,"$38,500",http://www.southern.edu
Rice University,Houston,TX,"$19,232",92%,"$65,400",http://www.rice.edu
Southern Methodist University,Dallas,TX,"$32,882",79%,"$60,700",http://www.smu.edu
The University of Texas at Austin,Austin,TX,"$18,422",80%,"$58,200",http://www.utexas.edu
Texas A & M University-College Station,College Station,TX,"$15,440",80%,"$58,000",http://www.tamu.edu
Trinity University,San Antonio,TX,"$23,341",80%,"$54,900",https://new.trinity.edu/
Southwestern University,Georgetown,TX,"$22,994",73%,"$54,000",http://www.southwestern.edu
The University of Texas at Dallas,Richardson,TX,"$13,343",67%,"$53,100",http://www.utdallas.edu
Texas Christian University,Fort Worth,TX,"$34,129",76%,"$52,800",http://www.tcu.edu/
Baylor University,Waco,TX,"$33,477",72%,"$51,600",http://www.baylor.edu
University of Houston,Houston,TX,"$15,399",51%,"$51,600",http://www.uh.edu/
School of Automotive Machinists & Technology,Houston,TX,"$22,096",87%,"$51,400",http://samtech.edu
Texas Tech University,Lubbock,TX,"$16,450",60%,"$51,400",http://www.ttu.edu
University of St Thomas,Houston,TX,"$19,161",59%,"$49,600",http://www.stthom.edu
The University of Texas at Arlington,Arlington,TX,"$13,844",47%,"$48,700",http://WWW.UTA.EDU
LeTourneau University,Longview,TX,"$22,029",55%,"$48,200",http://www.letu.edu
Austin College,Sherman,TX,"$22,235",73%,"$48,200",http://www.austincollege.edu
University of Dallas,Irving,TX,"$22,632",69%,"$47,400",http://www.udallas.edu
University of Phoenix-Texas,Houston,TX,"$17,361",16%,"$47,100",http://www.phoenix.edu
St. Mary's University,San Antonio,TX,"$16,947",60%,"$46,600",http://www.stmarytx.edu/
Saint Edward's University,Austin,TX,"$22,297",63%,"$46,500",https://www.stedwards.edu
Neumont College of Computer Science,Salt Lake City,UT,"$25,160",55%,"$69,400",http://www.neumont.edu
Brigham Young University-Provo,Provo,UT,"$12,795",82%,"$59,700",http://www.byu.edu
University of Utah,Salt Lake City,UT,"$12,674",65%,"$53,000",http://www.utah.edu
Westminster College,Salt Lake City,UT,"$23,792",62%,"$49,800",http://www.westminstercollege.edu
University of Phoenix-Utah,Salt Lake City,UT,"$17,687",23%,"$47,100",http://www.phoenix.edu
Weber State University,Ogden,UT,"$10,059",33%,"$44,500",http://www.weber.edu
Utah Valley University,Orem,UT,"$8,199",31%,"$43,800",http://www.uvu.edu
Utah State University,Logan,UT,"$12,849",48%,"$43,200",http://www.usu.edu
Western Governors University,Salt Lake City,UT,"$10,957",16%,"$41,900",http://www.wgu.edu
Southern Utah University,Cedar City,UT,"$13,858",47%,"$39,800",https://www.suu.edu/
Salt Lake Community College,Salt Lake City,UT,"$8,690",19%,"$37,600",http://www.slcc.edu
LDS Business College,Salt Lake City,UT,"$7,936",36%,"$36,000",http://www.ldsbc.edu
Dixie State University,Saint George,UT,"$13,501",34%,"$35,400",http://dixie.edu/
Snow College,Ephraim,UT,"$8,985",42%,"$31,700",https://www.snow.edu
Independence University,Salt Lake City,UT,"$27,176",50%,"$28,800",http://www.independence.edu
Stevens-Henager College,Logan,UT,"$23,756",23%,"$28,800",http://www.stevenshenager.edu/
Eagle Gate College-Layton,Layton,UT,"$18,499",58%,"$28,800",http://www.eaglegatecollege.edu
Stevens-Henager College,West Haven,UT,"$26,001",26%,"$28,800",http://www.stevenshenager.edu
Stevens-Henager College,Murray,UT,"$26,633",19%,"$28,800",http://www.stevenshenager.edu
Eagle Gate College-Murray,Murray,UT,"$19,832",56%,"$28,800",http://EAGLEGATECOLLEGE.EDU
Middlebury College,Middlebury,VT,"$22,775",94%,"$58,200",http://www.middlebury.edu
Norwich University,Northfield,VT,"$26,854",57%,"$53,700",http://www.norwich.edu
Saint Michael's College,Colchester,VT,"$30,019",77%,"$50,800",http://www.smcvt.edu
University of Vermont,Burlington,VT,"$17,831",76%,"$47,300",http://www.uvm.edu
Champlain College,Burlington,VT,"$36,409",60%,"$45,400",http://www.champlain.edu
Vermont Technical College,Randolph,VT,"$19,630",48%,"$45,000",http://www.vtc.edu/
Castleton University,Castleton,VT,"$16,750",49%,"$37,900",http://www.castleton.edu
New England Culinary Institute,Montpelier,VT,"$19,511",38%,"$37,600",http://www.neci.edu
College of St Joseph,Rutland,VT,"$16,799",31%,"$36,700",http://www.csj.edu
Southern Vermont College,Bennington,VT,"$23,096",29%,"$34,200",https://svc.edu
Lyndon State College,Lyndonville,VT,"$15,615",37%,"$33,400",http://WWW.LYNDONSTATE.EDU
Johnson State College,Johnson,VT,"$15,064",35%,"$33,200",http://www.jsc.edu
Green Mountain College,Poultney,VT,"$19,437",45%,"$30,300",http://www.greenmtn.edu
Bennington College,Bennington,VT,"$32,451",69%,"$29,500",http://www.bennington.edu
Community College of Vermont,Montpelier,VT,"$10,929",15%,"$28,800",http://www.ccv.edu
Marlboro College,Marlboro,VT,"$27,276",62%,"$27,600",http://www.marlboro.edu
Goddard College,Plainfield,VT,"$21,256",39%,"$25,400",http://www.goddard.edu
Landmark College,Putney,VT,"$36,144",30%,"$23,600",http://www.landmark.edu
Washington and Lee University,Lexington,VA,"$26,659",91%,"$76,100",http://www.wlu.edu/
Virginia Military Institute,Lexington,VA,"$18,785",76%,"$65,700",http://www.vmi.edu
University of Richmond,University of Richmond,VA,"$24,699",88%,"$64,500",http://www.richmond.edu
Virginia Polytechnic Institute and State University,Blacksburg,VA,"$19,413",84%,"$62,500",http://WWW.VT.EDU
University of Virginia-Main Campus,Charlottesville,VA,"$19,177",94%,"$61,200",http://www.virginia.edu
George Mason University,Fairfax,VA,"$19,479",70%,"$59,900",https://www2.gmu.edu/
College of William and Mary,Williamsburg,VA,"$19,089",91%,"$58,500",http://www.wm.edu
James Madison University,Harrisonburg,VA,"$20,036",82%,"$56,600",http://www.jmu.edu/
Jefferson College of Health Sciences,Roanoke,VA,"$23,686",49%,"$54,000",http://www.jchs.edu
Marymount University,Arlington,VA,"$24,259",51%,"$53,600",https://www.marymount.edu
Hampden-Sydney College,Hampden-Sydney,VA,"$30,674",65%,"$52,200",http://www.hsc.edu
University of Mary Washington,Fredericksburg,VA,"$21,569",71%,"$51,400",http://www.umw.edu
Randolph-Macon College,Ashland,VA,"$24,858",59%,"$49,100",http://www.rmc.edu
Christopher Newport University,Newport News,VA,"$22,965",72%,"$46,900",http://cnu.edu/
Strayer University-Virginia,Arlington,VA,"$25,998",24%,"$45,900",http://www.strayer.edu/virginia/arlington
Shenandoah University,Winchester,VA,"$27,823",56%,"$45,800",http://www.su.edu
Hampton University,Hampton,VA,"$34,173",60%,"$44,700",http://www.hamptonu.edu
Roanoke College,Salem,VA,"$28,096",65%,"$44,700",http://www.roanoke.edu
DeVry University-Virginia,Arlington,VA,"$20,004",25%,"$44,100",https://www.devry.edu
Virginia Commonwealth University,Richmond,VA,"$21,136",62%,"$44,000",http://www.vcu.edu/
DigiPen Institute of Technology,Redmond,WA,"$37,761",45%,"$80,200",http://www.digipen.edu
University of Washington-Seattle Campus,Seattle,WA,"$12,957",84%,"$57,700",http://www.washington.edu
University of Washington-Bothell Campus,Bothell,WA,"$11,121",68%,"$57,700",http://www.uwb.edu
University of Washington-Tacoma Campus,Tacoma,WA,"$8,829",61%,"$57,700",http://www.tacoma.uw.edu/
Seattle University,Seattle,WA,"$33,170",76%,"$56,500",http://www.seattleu.edu
Gonzaga University,Spokane,WA,"$39,831",83%,"$56,100",http://www.gonzaga.edu
Perry Technical Institute,Yakima,WA,"$21,393",79%,"$54,300",http://www.perrytech.edu/
University of Puget Sound,Tacoma,WA,"$37,324",79%,"$52,700",http://www.pugetsound.edu
Whitman College,Walla Walla,WA,"$33,482",88%,"$51,300",http://www.whitman.edu
Washington State University,Pullman,WA,"$16,278",65%,"$50,600",http://wsu.edu/
Pacific Lutheran University,Tacoma,WA,"$24,136",69%,"$49,400",http://www.plu.edu
Seattle Pacific University,Seattle,WA,"$28,105",71%,"$49,100",http://www.spu.edu
Saint Martin's University,Lacey,WA,"$20,795",53%,"$47,800",https://www.stmartin.edu
Central Washington University,Ellensburg,WA,"$14,132",52%,"$46,500",http://www.cwu.edu
Walla Walla University,College Place,WA,"$21,729",53%,"$46,400",http://www.wallawalla.edu
Western Washington University,Bellingham,WA,"$15,845",70%,"$45,800",http://www.wwu.edu
Bellingham Technical College,Bellingham,WA,"$6,763",42%,"$43,600",http://www.btc.edu
Bellevue College,Bellevue,WA,"$8,126",25%,"$43,500",https://bellevuecollege.edu
Eastern Washington University,Cheney,WA,"$13,706",46%,"$43,100",http://www.ewu.edu
Whitworth University,Spokane,WA,"$26,394",74%,"$42,100",http://www.whitworth.edu
American Public University System,Charles Town,WV,"$11,262",37%,"$62,400",http://www.apus.edu
Wheeling Jesuit University,Wheeling,WV,"$18,343",56%,"$46,200",http://www.wju.edu
West Virginia University,Morgantown,WV,"$10,997",57%,"$45,800",http://www.wvu.edu
Potomac State College of West Virginia University,Keyser,WV,"$8,249",17%,"$45,800",http://www.potomacstatecollege.edu
West Virginia Wesleyan College,Buckhannon,WV,"$18,420",50%,"$43,600",http://www.wvwc.edu
University of Charleston,Charleston,WV,"$17,170",43%,"$40,800",http://www.ucwv.edu
Alderson Broaddus University,Philippi,WV,"$17,902",43%,"$40,400",http://www.ab.edu/
Bethany College,Bethany,WV,"$22,552",41%,"$40,400",http://www.bethanywv.edu
Shepherd University,Shepherdstown,WV,"$10,939",47%,"$39,700",http://www.shepherd.edu/
Davis & Elkins College,Elkins,WV,"$17,814",44%,"$37,400",http://www.dewv.edu
Ohio Valley University,Vienna,WV,"$16,714",37%,"$37,200",https://www.ovu.edu
West Liberty University,West Liberty,WV,"$13,962",46%,"$36,400",http://www.westliberty.edu/
Marshall University,Huntington,WV,"$9,465",45%,"$35,600",http://www.marshall.edu/
Glenville State College,Glenville,WV,"$13,355",32%,"$33,800",http://www.glenville.edu
Fairmont State University,Fairmont,WV,"$10,220",30%,"$33,000",https://www.fairmontstate.edu/
Concord University,Athens,WV,"$7,743",36%,"$32,300",http://www.concord.edu
West Virginia State University,Institute,WV,"$9,285",28%,"$29,800",http://www.wvstateu.edu
Salem International University,Salem,WV,"$23,026",14%,"$28,900",http://www.salemu.edu
West Virginia University at Parkersburg,Parkersburg,WV,"$8,440",36%,"$28,000",http://www.wvup.edu
Appalachian Bible College,Mount Hope,WV,"$14,715",49%,"$26,700",http://www.abc.edu
Milwaukee School of Engineering,Milwaukee,WI,"$22,095",64%,"$71,300",http://www.msoe.edu
Marquette University,Milwaukee,WI,"$30,382",80%,"$62,600",http://www.marquette.edu
University of Wisconsin-Madison,Madison,WI,"$19,320",85%,"$56,200",http://www.wisc.edu
Cardinal Stritch University,Milwaukee,WI,"$17,738",41%,"$48,500",http://www.stritch.edu
University of Wisconsin-La Crosse,La Crosse,WI,"$15,093",68%,"$48,000",http://www.uwlax.edu
University of Wisconsin-Platteville,Platteville,WI,"$15,468",54%,"$47,300",http://www.uwplatt.edu
Saint Norbert College,De Pere,WI,"$24,898",73%,"$46,400",http://www.snc.edu
University of Wisconsin-Eau Claire,Eau Claire,WI,"$16,021",66%,"$46,200",http://www.uwec.edu
Ripon College,Ripon,WI,"$20,041",68%,"$45,500",http://www.ripon.edu
University of Wisconsin-Stout,Menomonie,WI,"$15,929",56%,"$45,100",http://www.uwstout.edu
Carthage College,Kenosha,WI,"$33,435",61%,"$44,700",http://www.carthage.edu
Carroll University,Waukesha,WI,"$23,579",61%,"$44,200",http://www.carrollu.edu
University of Wisconsin-Milwaukee,Milwaukee,WI,"$17,940",40%,"$44,200",http://uwm.edu
Lawrence University,Appleton,WI,"$25,507",78%,"$44,100",http://www.lawrence.edu
